id,time,會計年度,月份,會計分類,項目,預算科目編號,預算科目名稱,經資門,收入實現數,減項_收入待納庫數,加項_以前年度待納庫繳庫數,加項_以前年度撥款於本年度繳還數_材料,加項_以前年度撥款於本年度繳還數_存出保證金,加項_以前年度撥款於本年度繳還數_其他應收款,加項_預收款,加項_剔除經費,繳付公庫數
201,10908,109,08,1,"6. 收回以前年度撥款之存出保證金",,,,0,0,0,0,0,0,0,0,0
201,10908,109,08,1,"7. 收回以前年度撥款之零用金",,,,0,0,0,0,0,0,0,0,0
201,10908,109,08,1,"8. 領用以前年度撥款之材料",,,,0,0,0,0,0,0,0,0,0
201,10908,109,08,1,四、收回剔除經費,,,,0,0,0,0,0,0,0,0,0
201,10909,109,09,1,本年度,,,,2620507,0,0,0,0,0,0,0,2620507
201,10909,109,09,1,,0402010301,一般賠償收入,,18704,0,0,0,0,0,0,0,18704
201,10909,109,09,1,,0502010303,資料使用費,,68,0,0,0,0,0,0,0,68
201,10909,109,09,1,,0702010101,利息收入,,2,0,0,0,0,0,0,0,2
201,10909,109,09,1,,0702010102,權利金,,52129,0,0,0,0,0,0,0,52129
201,10909,109,09,1,,0702010103,租金收入,,2029196,0,0,0,0,0,0,0,2029196
201,10909,109,09,1,,0702010500,廢舊物資售價,,311040,0,0,0,0,0,0,0,311040
201,10909,109,09,1,,1202010201,收回以前年度歲出,,4257,0,0,0,0,0,0,0,4257
201,10909,109,09,1,,1202010210,其他雜項收入,,205111,0,0,0,0,0,0,0,205111
201,10909,109,09,1,以前年度,,,,649053,0,0,0,0,0,0,0,649053
201,10909,109,09,1,一、以前年度應收(保留)數,,,,649053,0,0,0,0,0,0,0,649053
201,10909,109,09,1,,0402010301,一般賠償收入,,649053,0,0,0,0,0,0,0,649053
201,10909,109,09,1,二、以前年度歲入納庫款,,,,0,0,0,0,0,0,0,0,0
201,10909,109,09,1,三、收回以前年度支出賸餘款,,,,0,0,0,0,0,0,0,0,0
201,10909,109,09,1,"1. 以前年度已撥繳之暫付、預付款支用收回",,,,0,0,0,0,0,0,0,0,0
201,10909,109,09,1,"2. 審計部修正減列支出實現數",,,,0,0,0,0,0,0,0,0,0
201,10909,109,09,1,"3. 審計部修正減列應付數-已撥款",,,,0,0,0,0,0,0,0,0,0
201,10909,109,09,1,"4. 審計部修正減列支出保留數-已撥款",,,,0,0,0,0,0,0,0,0,0
